N.M., 55.6, 9.47
N.C., 54.1, 47.07
N.J., 50.6, 40.59
Md., 53.2, 41.94
Mont., 46.1, 14.77
N.D., 43.3, 16.84
Mass., 48.3, 42.53
N.Y., 45.3, 40.54
Maine, 38.1, 37.44
S.C., 64.2, 51.53
N.C., 60.9, 43.51
Ill., 47.8, 36.27
S.C., 63.2, 48.27
N.H., 44.6, 37.6
Colo., 47.6, 15.81
Mich., 48.1, 32.89
Minn., 39.0, 31.0
Alaska, 31.7, 10.34
Colo., 50.9, 8.99
Conn., 48.9, 46.16
Hawaii, 75.6, 18.29
Ind., 52.0, 40.95
Fla., 66.6, 52.34
Mo., 54.4, 37.98
Nev., 66.0, 4.49
Ark., 61.4, 50.93
Calif., 60.8, 13.15
Wisc., 45.9, 32.95
Fla., 75.7, 58.53
Minn., 46.6, 29.41
Ala., 64.3, 54.77
Tenn., 58.5, 48.11
La., 68.2, 64.16
Va., 57.4, 45.74
Wash., 47.4, 50.79
Pa., 53.1, 42.05
Pa., 49.9, 37.85
Ore., 51.2, 37.07
N.C., 59.1, 43.05
Va., 57.1, 43.91
Calif., 58.9, 17.93
Texas, 68.6, 32.92
Calif., 56.2, 20.11
Wash., 50.2, 37.07
Wash., 46.5, 16.67
Mo., 56.6, 38.75
Ohio, 48.3, 33.21
Okla., 60.8, 42.42
D.C., 56.1, 39.35
Del., 52.4, 42.81
